,GENERAL JOURNAL,,,,,,,,,GENERAL JOURNAL,,,,,,
,1/31/2024,2104,K,Art 23 Payable,,"4,000,000.00",Penerimaan tagihan PT. Multidaya Trucking untuk sewa 4 unit kendaraan delivery bulan Januari 2024 dengan biaya Rp. 50.000.000/unit,,,23-Feb-24,6104,D,Salaries Expense – GA,"375,000,000.00",,"Pembayaran gaji karyawan bulan Februari 2024 sebesar Rp. 2.750.000.000,- dan PPh 21 sebesar Rp. 125.000.000,-"
,1/31/2024,2102,K,Other Payable – Non Related Parties,,"218,000,000.00",Penerimaan tagihan PT. Multidaya Trucking untuk sewa 4 unit kendaraan delivery bulan Januari 2024 dengan biaya Rp. 50.000.000/unit,,,23-Feb-24,2103,D,Art 21 Payable,,"125,000,000.00","Pembayaran gaji karyawan bulan Februari 2024 sebesar Rp. 2.750.000.000,- dan PPh 21 sebesar Rp. 125.000.000,-"
,,,,,,,,,,23-Feb-24,1101,K,Cash / Bank,,"2,750,000,000.00","Pembayaran gaji karyawan bulan Februari 2024 sebesar Rp. 2.750.000.000,- dan PPh 21 sebesar Rp. 125.000.000,-"
,1/31/2024,6101,D,Electricity Expense,"72,500,000.00",,"Penerimaan  tagihan listrik dari PT. Cikarang Listrindo Tbk Sebesar Rp. 72.500.000,- untuk tagihan listrik bulan Januari 2024.",,,,,,,,,
,1/31/2024,2102,K,Other Payable – Non Related Parties,,"72,500,000.00","Penerimaan  tagihan listrik dari PT. Cikarang Listrindo Tbk Sebesar Rp. 72.500.000,- untuk tagihan listrik bulan Januari 2024.",,,26-Feb-24,4101,K,Sales,,"809,100,000.00","Menjual Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 9.000 Pcs dengan harga @89.900 sebesar Rp. 809.100.000,- "
,,,,,,,,,,26-Feb-24,2105,K,VAT Out,,"89,001,000.00","Menjual Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 9.000 Pcs dengan harga @89.900 sebesar Rp. 809.100.000,- "
,1/31/2024,2102,D,Other Payable – Non Related Parties,"10,900,000.00",,Pembayaran tagihan sewa 1 unit Mobil Alphard ke PT. Adi Sarana Armada Tbk untuk invoice tanggal 12 Januari 2024,,,26-Feb-24,1104,K,Inventory – Finished Goods,,"245,700,000.00","Menjual Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 9.000 Pcs dengan harga @89.900 sebesar Rp. 809.100.000,- "
,1/31/2024,1101,K,Cash / Bank,,"10,900,000.00",Pembayaran tagihan sewa 1 unit Mobil Alphard ke PT. Adi Sarana Armada Tbk untuk invoice tanggal 12 Januari 2024,,,26-Feb-24,5101,D,COGS,"245,700,000.00",,"Menjual Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 9.000 Pcs dengan harga @89.900 sebesar Rp. 809.100.000,- "
,,,,,,,,,,26-Feb-24,1103,D,AR Trade Local – Non Related Parties,"898,101,000.00",,"Menjual Wiring Harness ZX 234 kepada PT. Astra Honda Motor sebanyak 9.000 Pcs dengan harga @89.900 sebesar Rp. 809.100.000,- "
,,,,,,,,,,,,,,,,
,,,,,,,,,,26-Feb-24,1101,D,Cash / Bank,"444,000,000.00",,"Penerimaan tagihan ke PT. Astra Honda Motor atas produk sebesar Rp. 400.000.000,- ditambah beserta pajaknya sebesar Rp. 44.000.000,- invoice tanggal 27 Januari 2024."
,,,,,,,,,,26-Feb-24,1103,K,AR Trade Local – Non Related Parties,,"444,000,000.00","Penerimaan tagihan ke PT. Astra Honda Motor atas produk sebesar Rp. 400.000.000,- ditambah beserta pajaknya sebesar Rp. 44.000.000,- invoice tanggal 27 Januari 2024."
,,,,,,,,,,,,,,,,
,,,,,,,,,,29-Feb-24,6107,D,Internet Expense,"10,000,000.00",,"Penerimaan tagihan pemakaian internet bulan Februari 2024 dari PT. Cyberindo Indonesia sebesar Rp. 10.000.000,-"
,,,,,,,,,,29-Feb-24,1108,D,Prepaid VAT In,"1,100,000.00",,"Penerimaan tagihan pemakaian internet bulan Februari 2024 dari PT. Cyberindo Indonesia sebesar Rp. 10.000.000,-"
,,,,,,,,,,29-Feb-24,2104,K,Art 23 Payable,,"200,000.00","Penerimaan tagihan pemakaian internet bulan Februari 2024 dari PT. Cyberindo Indonesia sebesar Rp. 10.000.000,-"
,,,,,,,,,,29-Feb-24,2102,K,Other Payable – Non Related Parties,,"10,900,000.00","Penerimaan tagihan pemakaian internet bulan Februari 2024 dari PT. Cyberindo Indonesia sebesar Rp. 10.000.000,-"
,,,,,,,,,,,,,,,,
,,,,,,,,,,29-Feb-24,6108,D,Trucking Expense,"200,000,000.00",,Penerimaan tagihan untuk sewa 4 unit kendaraan delivery periode Februari 2024 dengan biaya Rp. 50.000.000/unit
,,,,,,,,,,29-Feb-24,1108,D,Prepaid VAT In,"22,000,000.00",,Penerimaan tagihan untuk sewa 4 unit kendaraan delivery periode Februari 2024 dengan biaya Rp. 50.000.000/unit
,,,,,,,,,,29-Feb-24,2104,K,Art 23 Payable,,"4,000,000.00",Penerimaan tagihan untuk sewa 4 unit kendaraan delivery periode Februari 2024 dengan biaya Rp. 50.000.000/unit
,,,,,,,,,,29-Feb-24,2102,K,Other Payable – Non Related Parties,,"218,000,000.00",Penerimaan tagihan untuk sewa 4 unit kendaraan delivery periode Februari 2024 dengan biaya Rp. 50.000.000/unit
,,,,,,,,,,,,,,,,
,,,,,,,,,,29-Feb-24,6101,D,Electricity Expense,"75,000,000.00",,"Penerimaan tagihan listrik dari PT. Cikarang Listrindo Tbk Sebesar Rp. 75.000.000,- untuk tagihan listrik bulan Februari 2024."
,,,,,,,,,,29-Feb-24,2102,K,Other Payable – Non Related Parties,,"75,000,000.00","Penerimaan tagihan listrik dari PT. Cikarang Listrindo Tbk Sebesar Rp. 75.000.000,- untuk tagihan listrik bulan Februari 2024."
,,,,,,,,,,,,,,,,
,,,,,,,,,,29-Feb-24,1101,D,Cash / Bank,"145,000,000.00",,Penerimaan bunga deposito di Bank BCA periode Februari 2024
,,,,,,,,,,29-Feb-24,4102,K,Interest Revenue,,"145,000,000.00",Penerimaan bunga deposito di Bank BCA periode Februari 2025
,,,,,,,,,,,,,,,,
,,,,,,,,,,29-Feb-24,2102,D,Other Payable – Non Related Parties,"10,900,000.00",,Pembayaran sewa 1 unit Mobil Alphard untuk seharga Rp. 10.000.000/bulan kepada PT. Adi Sarana Armada Tbk dengan kontrak selama 5 tahun yang akan dibayarkan setiap akhir bulan.
,,,,,,,,,,29-Feb-24,1101,K,Cash / Bank,,"10,900,000.00",Pembayaran sewa 1 unit Mobil Alphard untuk seharga Rp. 10.000.000/bulan kepada PT. Adi Sarana Armada Tbk dengan kontrak selama 5 tahun yang akan dibayarkan setiap akhir bulan.
,,,,,,,,,,,,,,,,
,,,,,,,,,,29-Feb-24,1101,D,Cash / Bank,"412,920,000.00",,"Penerimaan pembayaran dari PT. Kawasaki Indonesia sebanyak 6.000 Pcs dengan harga @62.000/Pcs sebesar Rp. 372.000,000,- ditambah pajaknya sebesar Rp 40.920.000,- invoice tanggal 30 Januari 2024."
,,,,,,,,,,29-Feb-24,1103,K,AR Trade Local – Non Related Parties,,"412,920,000.00","Penerimaan pembayaran dari PT. Kawasaki Indonesia sebanyak 6.000 Pcs dengan harga @62.000/Pcs sebesar Rp. 372.000,000,- ditambah pajaknya sebesar Rp 40.920.000,- invoice tanggal 30 Januari 2024."
,,,,,,,,,,,,,,,,
,,,,,,,,,,29-Feb-24,2102,D,Other Payable – Non Related Parties,"218,000,000.00",,Pembayaran tagihan dari PT. Multidaya Trucking untuk sewa 4 unit kendaraan delivery bulan Januari 2024 untuk invoice tanggal 31 Januari 2024
,,,,,,,,,,29-Feb-24,1101,K,Cash / Bank,,"218,000,000.00",Pembayaran tagihan dari PT. Multidaya Trucking untuk sewa 4 unit kendaraan delivery bulan Januari 2024 untuk invoice tanggal 31 Januari 2024
,,,,,,,,,,,,,,,,
,TOTAL,,,,"94,969,690,000.00","94,969,690,000.00",,,,TOTAL,,,,"119,946,333,500.00","119,946,333,500.00",
,CHECK,,,,TRUE,,,,,CHECK,,,,TRUE,,
